,model,category,language,frame_type,instance,prompt,total_logprob,avg_logprob
0,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,ant,One example of a animal is ___.,-10.1875,-10.1875
1,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bee,One example of a animal is ___.,-14.5625,-14.5625
2,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,butterfly,One example of a animal is ___.,-13.0625,-13.0625
3,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,crow,One example of a animal is ___.,-15.0,-15.0
4,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,duck,One example of a animal is ___.,-14.875,-14.875
5,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,eagle,One example of a animal is ___.,-15.5,-15.5
6,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,frog,One example of a animal is ___.,-13.9375,-13.9375
7,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hummingbird,One example of a animal is ___.,-15.43359375,-7.716796875
8,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,iguana,One example of a animal is ___.,-13.309722900390625,-4.436574300130208
9,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,lizard,One example of a animal is ___.,-14.0,-14.0
10,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,owl,One example of a animal is ___.,-12.8125,-12.8125
11,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,parrot,One example of a animal is ___.,-13.328125,-6.6640625
12,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,seagull,One example of a animal is ___.,-14.171875,-4.723958333333333
13,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,snake,One example of a animal is ___.,-13.375,-13.375
14,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,spider,One example of a animal is ___.,-13.6875,-13.6875
15,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,vulture,One example of a animal is ___.,-16.03125,-8.015625
16,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,wasp,One example of a animal is ___.,-15.09375,-7.546875
17,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,worm,One example of a animal is ___.,-14.6875,-14.6875
18,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,beetle,One example of a animal is ___.,-14.25,-14.25
19,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bird,One example of a animal is ___.,-12.625,-12.625
20,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cockroach,One example of a animal is ___.,-14.6181640625,-7.30908203125
21,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,dragonfly,One example of a animal is ___.,-15.9921875,-7.99609375
22,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,flamingo,One example of a animal is ___.,-15.7421875,-7.87109375
23,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,grasshopper,One example of a animal is ___.,-11.8154296875,-3.9384765625
24,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hawk,One example of a animal is ___.,-15.25,-15.25
25,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,ladybug,One example of a animal is ___.,-16.109375,-8.0546875
26,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,mosquito,One example of a animal is ___.,-15.625,-15.625
27,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,ostrich,One example of a animal is ___.,-15.843994140625,-7.9219970703125
28,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,peacock,One example of a animal is ___.,-14.7109375,-7.35546875
29,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pelican,One example of a animal is ___.,-14.470703125,-7.2353515625
30,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,penguin,One example of a animal is ___.,-12.328125,-6.1640625
31,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pheasant,One example of a animal is ___.,-15.130859375,-5.043619791666667
32,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,rooster,One example of a animal is ___.,-15.046875,-7.5234375
33,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,seahorse,One example of a animal is ___.,-13.421875,-4.473958333333333
